id,filename,package_name,version,size_bytes,has_scripts
1,leg-pkg-1.tgz,express,4.19.2,56134,yes
2,leg-pkg-2.tgz,lodash,4.17.21,318961,yes
3,leg-pkg-3.tgz,react,18.2.0,81152,no
4,leg-pkg-4.tgz,axios,1.6.7,466579,yes
5,leg-pkg-5.tgz,moment,2.30.1,715526,yes
6,leg-pkg-6.tgz,chalk,5.3.0,13397,yes
7,leg-pkg-7.tgz,webpack,5.89.0,934359,yes
8,leg-pkg-8.tgz,debug,4.3.4,13252,yes
9,leg-pkg-9.tgz,dotenv,16.3.1,21340,yes
10,leg-pkg-10.tgz,commander,11.1.0,45767,yes
11,leg-pkg-11.tgz,jest,29.7.0,2320,no
12,leg-pkg-12.tgz,eslint,8.56.0,564821,yes
13,leg-pkg-13.tgz,prettier,3.2.4,2159660,no
14,leg-pkg-14.tgz,typescript,5.3.3,5761919,yes
15,leg-pkg-15.tgz,socket.io-client,4.7.4,301488,yes
16,leg-pkg-16.tgz,passport,0.7.0,95450,yes
17,leg-pkg-17.tgz,bcryptjs,2.4.3,78034,yes
18,leg-pkg-18.tgz,winston,3.11.0,50023,yes
19,leg-pkg-19.tgz,cors,2.8.5,6173,yes
20,leg-pkg-20.tgz,body-parser,1.20.2,15109,yes
21,leg-pkg-21.tgz,mongoose,8.1.1,632584,yes
22,leg-pkg-22.tgz,cheerio,1.0.0-rc.12,76861,yes
23,leg-pkg-23.tgz,nodemailer,6.9.8,112962,yes
24,leg-pkg-24.tgz,rollup,4.9.6,442985,yes
25,leg-pkg-25.tgz,vue,3.4.15,571781,no
